"a lot" "много, множество, масса"
many много
much много
"a bit" немного
"a bit later" "немного позже"
"a bit more" "еще немного"
"(am, are, is) going to" "собираться (сделать что-либо)"
few мало
"a few" несколько
abandon "покидать, отказываться от"
able "в состоянии, способный, умеющий, могущий"
above над
abroad "за границей"
absence "отсутствие, недостаток"
accept принимать
access доступ
accident "несчастный случай, авария"
accurate "точный, тщательный"
"achievement (эчивмент)" "достижение, успех, подвиг, выполнение"
"acquaintance (эквэйтенс)" знакомство
act "действовать, дело"
activity деятельность
actually "фактически, на самом деле"
add "добавить, сложить, прибавлять"
addition дополнение
adjust "приводить в порядок, улаживать"
admit "признавать, допускать"
adore обожать
adult взрослый
grown-ups взрослый
advance "продвижение, успех, прогресс, продвигаться, продвинутый"
advantage "преимущество, выгода, польза"
advertise извещать
announce "объявлять, извещать"
advertisement объявление
advice совет
afford "позволить себе, предоставлять, иметь, давать, доставлять"
afraid испуганный
scared испуганный
frightened "испуганный, напуганный"
"after all" "впрочем, в конце концов"
afternoon "дневное время"
again снова
against против
age возраст
ago "тому назад"
agree соглашаться
agreement соглашение
aid "помощь, поддержка"
aim цель
goal "цель, гол, задача"
purpose цель
alike похожи
alive живой
"all over" повсюду
everywhere "везде, повсюду"
"all the same" "все таки, все равно"
allow "позволять, допускать, разрешать"
almost почти
nearly "около, почти, приблизительно"
"pretty much" почти
alone одинокий
along вдоль
"along with" "вместе с"
already уже
"also (олсоу)" также
too "также, тоже, слишком"
"both (both national and international)" "оба, и тот и другой, также, одинаково(как национальных, так и международных)"
"as well" также
although хотя
still "все еще, до сих пор, все же, хотя"
though "однако, все же, хотя"
altogether "всецело, вполне"
always всегда
ever "когда-либо, всегда"
amazing поразительный
ambition "амбиция, стремление, мечта"
ambulance скорая
amenities "услуги, удовольствия"
among среди
amount количество
number "номер, количество, число"
ancestors предки
"and it goes without saying" "и само собой разумеется"
"and so on" "и так далее"
anew заново
another другой
different "различный, другой, разный"
"another point" "еще один момент"
anywhere "в любом месте, никуда, везде, никуда, где угодно"
"Apart (эпат)" "кроме, отдельно, обособленно, на части, порознь"
"apart from" кроме
besides "кроме того, помимо"
else "еще, иначе, кроме"
except "кроме, за исключением"
unless "если не, пока не, за исключением, 
кроме"
app приложение
appear появляться
appearance "появление, внешний вид, внешность"
applicant "заявитель, кандидат, абитуриент"
application "заявление, приложение, прошение"
"apply (эплай)" "подать заявление"
appointment встреча
"appreciate (апришиейт)" "ценить, оценивать, понимать"
approve одобрять
approximately "приблизительно, примерно"
"argue (аргии)" "спорить, аргументировать, доказывать"
arm рука
around "вокруг, около, кругом, вблизи, поблизости"
beside "рядом, возле"
by "у, рядом"
"next to" рядом
near рядом
"around doing nothing" "ничего не делая"
arrive "приходить, прибывать, приезжать"
"as a rule" "как правило"
"As far as I know" "на сколько я знаю"
"As for" "что касается"
"as soon" "как только"
aside "в сторону, в стороне"
ask "спрашивать, просить"
assert утверждать
assure уверять
"at ... o'clock" "в … часов"
"at all" совсем
"at least" "по крайней мере"
"at night" "По ночам, ночью"
"at noon" "В полдень"
"at once" "сразу, тотчас, одновременно"
"at present" сейчас
"at short notice" "тотчас же"
"at soon" "в ближайшее время, скоро, вскоре"
"at this moment" "в этот момент"
attack нападение
attempt попытка
attend посещать
attended "участие, посещать, заниматься"
attention "внимание, забота, уход"
attitude "отношение к, позиция"
attract привлекать
attractive "привлекательный, притягательный"
aunt тетя
autumn осень
average "в среднем"
avoid избегать
awaken "пробуждать, просыпаться"
award "награда, награждать"
away "далеко, прочь, приставка ""у"" к глаголу"
back "спина, назад, обратно"
"back up" поддерживать
"bad - worse - the worst" "плохой – хуже – самый плохой"
badge значок
badly плохо
bag "мешок, сумка, чемодан"
barber парикмахер
"barrel (баррэл)" бочка
"be bored" скучать
"be born" родиться
"be interested in" интересоваться
"be married" "быть женатым"
"be single" "быть холостым"
beautiful красивый
beauty красота
"because of" "потому что"
bedroom спальня
beef говядина
before "перед, раньше"
beforehand заблаговременно
behave "вести себя"
behavior "поведение, поступки, манеры"
"being (биенг)" "существо, бытие, являющийся, находящийся"
belief "вера, убеждение"
believe верить
bell "колокол, звонок"
below ниже
bench скамья
benefit "пособие, выгода, приносить пользу"
betray "предавать, изменять"
better лучше
bill счет
bird птица
blade лезвие
blame "обвинять, упрек, осуждение, осуждать"
blind слепой
block "жилой дом"
boat "лодка, судно"
book "книга, заказывать (билет)"
booking резервация
boring "скучный, бурение, сверление"
both оба
branch ветка
"brand new" "совершенно новый"
brave "храбрый, смелый"
break "ломать, перерыв, разрыв"
breathe "дышать, вдыхать"
bright яркий
brightly ярко
bring "приносить, приводить"
"bring in" вносить
"bring out" выносить
"bring up" воспитывать
brittle хрупкий
brown коричневый
brush "щетка, чистить щеткой, причесывать"
"bucket (бакит)" ведро
build строить
building здание
burst "взрыв, лопнуть, разрывать"
busy занятый
but но
"but in spite of it" "но не смотря на это"
button пуговица
buy покупать
"by accident" нечаянно
accidentally "случайно, нечаянно"
"by chance" случайно
"by heart" "наизусть, на память"
"by mistake" "по ошибке"
"by road" "наземным транспортом"
"by the way" кстати
"by themselves, by yourself" самостоятельно
call "звать, навещать"
"call out" "вызывать, выкрикивать"
